"hour_stump","datacenter_id","pm_26972_freq","pm_26972_mw","pm_26972_kw","pm_26975_freq","pm_26975_mw","pm_26975_kw","pm_26976_freq","pm_26976_mw","pm_26976_kw","pm_74084_freq","pm_74084_mw","pm_74084_kw","pm_74085_freq","pm_74085_mw","pm_74085_kw","usd","temp_f","rel_humidity"
2021-11-07 06:15:00.000,2,59.98101,115.19818,92815.555,59.981155,28.265167,,59.980988,25.752016,,59.981056,29.094133,,59.98081,32.086933,,25.12,48.41,69.0
2021-11-06 03:45:00.000,2,59.99728,115.00632,93000.0,59.9974,28.123016,,59.997475,25.707333,,59.997833,28.975733,,59.997482,32.200535,,54.46,,
2021-11-16 05:45:00.000,2,60.009087,116.3579,91666.664,60.008854,27.52345,,60.0089,27.05895,,60.009552,29.872616,,60.009186,31.905416,,12.21,64.89,89.0
2021-11-04 18:20:00.000,2,59.99938,111.16975,88900.0,59.99908,28.054817,,59.999035,25.6693,,59.999245,28.358383,,59.999012,29.089983,,39.53,52.265,62.0
2021-11-14 17:30:00.000,2,59.95286,113.09468,90466.664,59.95272,27.8056,,59.952595,25.983566,,59.95272,27.8386,,59.953236,31.468483,,27.33,71.69,53.0
2021-11-13 07:20:00.000,2,60.01482,114.45962,92100.0,60.01484,27.79785,,60.014908,25.561867,,60.014854,29.11455,,60.015087,31.985216,,49.37,46.795,44.0
2021-11-30 13:10:00.000,2,60.000797,123.377235,95333.336,60.00138,23.8515,,60.001286,26.7655,,60.001263,35.824703,,60.001156,36.93428,,47.47,45.16,86.0
2021-11-18 01:30:00.000,2,59.99899,118.73835,94438.89,59.999313,25.458084,,59.999424,27.962,,59.999275,32.5505,,59.9994,32.767,,34.06,69.32,72.0
2021-11-26 00:55:00.000,2,59.993866,112.01818,84133.336,59.99349,23.573383,,59.993324,26.172117,,59.99316,30.3562,,59.993637,31.916283,,49.11,53.25,45.0
2021-11-12 12:25:00.000,2,60.004757,114.360016,92000.0,60.004425,27.8985,,60.004215,25.169884,,60.004547,29.122868,,60.004223,32.168133,,31.1,44.64,65.0
2021-11-19 21:20:00.000,2,60.016804,0.0,53133.332,60.016804,0.0,,60.016804,0.0,,60.016804,0.0,,60.016804,0.0,,24.86,63.815,33.0
2021-11-05 22:10:00.000,2,59.983665,115.087814,92800.0,59.98407,28.389322,,59.984093,25.877016,,59.98398,28.777187,,59.983673,32.044067,,43.62,60.575,49.0
2021-11-07 11:35:00.000,2,59.986313,114.15082,92841.11,59.986458,27.572884,,59.98684,25.552433,,59.98704,28.936384,,59.98659,32.06008,,33.63,42.35,78.0
2021-11-22 00:30:00.000,2,59.999245,113.76483,85733.336,59.999065,25.69315,,59.99896,28.121433,,59.999107,27.184317,,59.99892,32.767,,38.05,64.265,65.0
2021-11-16 14:05:00.000,2,60.00829,119.1222,94466.664,60.008,27.843517,,60.008057,27.31325,,60.00874,31.19735,,60.008514,32.767,,12.21,65.82,91.0
2021-11-14 10:20:00.000,2,59.997036,114.34013,90066.664,59.99771,27.260616,,59.997883,25.58305,,59.99784,29.30795,,59.99754,32.190334,,27.09,46.615,59.0
2021-11-13 01:40:00.000,2,60.00642,113.69037,91300.0,60.005505,27.660566,,60.00526,25.589367,,60.00565,28.586517,,60.006077,31.852118,,43.8,57.72,48.0
2021-11-18 00:00:00.000,2,59.996975,118.471535,93682.22,59.996365,25.430717,,59.99621,28.260384,,59.996765,32.016968,,59.996696,32.767,,54.11,74.805,65.0
2021-11-14 14:15:00.000,2,59.99497,115.24675,90566.664,59.994984,27.72165,,59.99448,25.733467,,59.994488,29.435766,,59.99442,32.355167,,0.19,51.675,68.0
2021-11-01 06:35:00.000,2,59.993896,103.97995,81900.0,59.994053,28.006123,,59.99321,25.45907,,59.993114,21.60728,,59.993958,28.908491,,62.62,57.945,69.0
2021-11-10 18:05:00.000,2,59.97901,113.20303,92218.5,59.97907,28.01085,,59.97931,26.156982,,59.9794,27.130383,,59.97875,31.90405,,23.5,77.11,68.0
2021-11-03 18:05:00.000,2,60.005405,110.14973,87815.82,60.005146,27.801865,,60.00536,25.510763,,60.005894,27.885288,,60.00636,28.953033,,82.59,51.385,96.0
2021-11-29 04:55:00.000,2,59.995506,117.685585,89833.336,59.995544,23.759638,,59.995636,26.196276,,59.995686,32.86638,,59.99541,34.86349,,33.81,46.725,59.0
