"Category","Series 1","Active Power","Hashrate","Heat Index","Operational"
Mon Nov 01 2021 05:15:00 GMT-0500 (CDT),,103.03231666666667,1430.8151361048288,53.06,20443
Mon Nov 01 2021 05:20:00 GMT-0500 (CDT),,103.23423333333334,1466.7267766358593,54.1,20450
Mon Nov 01 2021 05:25:00 GMT-0500 (CDT),,102.63230508474577,1478.1835289833305,54.18,20347
Mon Nov 01 2021 05:30:00 GMT-0500 (CDT),,102.98736666666667,1444.1168154673194,53.83,20323
Mon Nov 01 2021 05:35:00 GMT-0500 (CDT),,103.33783333333334,1420.5447263899907,53.96,20435
Mon Nov 01 2021 05:40:00 GMT-0500 (CDT),,103.52395,1445.9654603168121,52.86,20446
Mon Nov 01 2021 05:45:00 GMT-0500 (CDT),,103.73298333333334,1462.48663875015,52.52,20444
Mon Nov 01 2021 05:50:00 GMT-0500 (CDT),,103.76611666666668,1483.9690420745085,52.52,20381
Mon Nov 01 2021 05:55:00 GMT-0500 (CDT),,103.90791666666668,1491.3308780034045,52.65,20443
Mon Nov 01 2021 06:00:00 GMT-0500 (CDT),,104.28036666666667,1505.0120384825666,52.63,20436
Mon Nov 01 2021 06:05:00 GMT-0500 (CDT),,103.79479310344827,1515.954326455539,52.52,20450
Mon Nov 01 2021 06:10:00 GMT-0500 (CDT),,104.04463333333334,1517.665674948501,52.52,20450
Mon Nov 01 2021 06:15:00 GMT-0500 (CDT),,104.32606666666668,1511.2088588839797,52.32,20442
Mon Nov 01 2021 06:20:00 GMT-0500 (CDT),,104.28093333333332,1524.7441224416204,52.29,20451
Mon Nov 01 2021 06:25:00 GMT-0500 (CDT),,104.17543333333333,1530.552127952317,51.48,20452
Mon Nov 01 2021 06:30:00 GMT-0500 (CDT),,104.25680000000001,1535.1413037448397,52.18,20445
Mon Nov 01 2021 06:35:00 GMT-0500 (CDT),,104.17055,1539.4009192254991,52.54,20451
Mon Nov 01 2021 06:40:00 GMT-0500 (CDT),,103.92808333333333,1541.5146362247385,51.19,20453
Mon Nov 01 2021 06:45:00 GMT-0500 (CDT),,103.75652542372882,1542.568263068778,51.24,20452
Mon Nov 01 2021 06:50:00 GMT-0500 (CDT),,103.77996666666667,1542.8675258285225,51.08,20451
Mon Nov 01 2021 06:55:00 GMT-0500 (CDT),,103.82211666666667,1543.27737258545,50.97,20450
Mon Nov 01 2021 07:00:00 GMT-0500 (CDT),,103.8593,1544.3712150978915,50.97,20453
Mon Nov 01 2021 07:05:00 GMT-0500 (CDT),,103.99106666666667,1538.5539863369327,50.99,20452
Mon Nov 01 2021 07:10:00 GMT-0500 (CDT),,104.2138,1518.4398771928868,50.95,20452
Mon Nov 01 2021 07:15:00 GMT-0500 (CDT),,104.62446666666666,1519.882908452171,50.88,20423
Mon Nov 01 2021 07:20:00 GMT-0500 (CDT),,104.77171666666666,1529.2921745528638,51.35,20445
Mon Nov 01 2021 07:25:00 GMT-0500 (CDT),,104.67888333333333,1537.1929123664586,51.35,20449
Mon Nov 01 2021 07:30:00 GMT-0500 (CDT),,103.99988333333334,1540.6622509044653,50.76,20455
Mon Nov 01 2021 07:35:00 GMT-0500 (CDT),,103.82803333333332,1531.2891469972958,50.61,20444
Mon Nov 01 2021 07:40:00 GMT-0500 (CDT),,103.80845000000001,1496.4385911574805,50.45,20450
Mon Nov 01 2021 07:45:00 GMT-0500 (CDT),,103.87951666666666,1505.1150202507904,50.41,20446
Mon Nov 01 2021 07:50:00 GMT-0500 (CDT),,104.23411666666668,1510.6700859285313,50.34,20443
Mon Nov 01 2021 07:55:00 GMT-0500 (CDT),,104.30068333333334,1521.6253664662609,50.5,20444
Mon Nov 01 2021 08:00:00 GMT-0500 (CDT),,104.19151666666667,1524.3469047515111,50.67,20446
Mon Nov 01 2021 08:05:00 GMT-0500 (CDT),,104.4131,1518.838134752321,50.85,20449
Mon Nov 01 2021 08:10:00 GMT-0500 (CDT),,104.31143333333334,1524.1042062317083,50.85,20442
Mon Nov 01 2021 08:15:00 GMT-0500 (CDT),,104.32451666666667,1531.3872958812192,51.24,20445
Mon Nov 01 2021 08:20:00 GMT-0500 (CDT),,104.3498,1536.1889219397963,51.58,20448
Mon Nov 01 2021 08:25:00 GMT-0500 (CDT),,104.40286666666667,1540.255713865269,51.8,20448
Mon Nov 01 2021 08:30:00 GMT-0500 (CDT),,104.42856666666667,1540.7560243651394,52.05,20448
Mon Nov 01 2021 08:35:00 GMT-0500 (CDT),,104.486,1544.2581630125378,52.3,20451
Mon Nov 01 2021 08:40:00 GMT-0500 (CDT),,104.50843333333334,1543.1351500813098,53.71,20451
