"hour_stump","hashrate","operational","heat_index"
"2021-11-06 16:30:00",467.96014404296875,36885.000000000000,66.54000091552734
"2021-11-25 22:10:00",461.8547058105469,36131.000000000000,47.5
"2021-11-24 09:00:00",462.75628662109375,36449.000000000000,59.790000915527344
"2021-11-29 01:00:00",457.6413879394531,35846.000000000000,44.33000183105469
"2021-11-02 21:10:00",470.42578125,36953.000000000000,66.8499984741211
"2021-11-19 07:00:00",465.6567687988281,36679.000000000000,36.900001525878906
"2021-11-10 13:50:00",461.9895324707031,36452.000000000000,78.93000030517578
"2021-11-02 18:25:00",468.9866638183594,36863.000000000000,73.69000244140625
"2021-11-07 12:05:00",468.22509765625,36976.000000000000,66.83000183105469
"2021-11-18 19:05:00",465.2537841796875,36652.000000000000,52.56999969482422
"2021-11-23 16:15:00",462.9125671386719,36687.000000000000,66.48999786376953
"2021-11-20 16:55:00",464.9806823730469,36704.000000000000,70.61000061035156
"2021-11-17 09:10:00",467.3088684082031,36650.000000000000,69.16999816894531
"2021-11-08 16:05:00",466.5130920410156,36957.000000000000,74.9800033569336
"2021-11-21 21:05:00",463.91497802734375,36654.000000000000,59.86000061035156
"2021-11-11 22:05:00",462.6696472167969,36325.000000000000,51.58000183105469
"2021-11-28 19:05:00",459.02777099609375,35929.000000000000,55.20000076293945
"2021-11-22 19:20:00",463.55694580078125,36690.000000000000,50.380001068115234
"2021-11-13 21:10:00",456.1208190917969,35909.000000000000,50.83000183105469
"2021-11-08 02:10:00",467.5406188964844,36975.000000000000,51.939998626708984
"2021-11-26 09:55:00",462.74652099609375,36258.000000000000,43.25
"2021-11-18 15:30:00",462.530029296875,36427.000000000000,62.060001373291016
"2021-11-14 18:15:00",453.6055603027344,35406.000000000000,68.97000122070312
"2021-11-03 04:05:00",469.9612731933594,37012.000000000000,60.220001220703125
"2021-11-03 19:35:00",467.0777587890625,36726.000000000000,45.29999923706055
"2021-11-05 20:15:00",464.0879821777344,36511.000000000000,49.04999923706055
"2021-11-27 07:40:00",462.56646728515625,36298.000000000000,43.15999984741211
"2021-11-17 06:50:00",468.2147216796875,36709.000000000000,63.45000076293945
"2021-11-23 15:40:00",462.764404296875,36650.000000000000,67.51000213623047
"2021-11-12 10:15:00",462.3597412109375,36344.000000000000,63.63999938964844
"2021-11-20 17:20:00",464.5872497558594,36662.000000000000,68.94999694824219
"2021-11-06 05:10:00",469.3511962890625,36981.000000000000,42.849998474121094
"2021-11-19 20:35:00",466.85791015625,36611.000000000000,48.900001525878906
"2021-11-12 01:15:00",462.54925537109375,36323.000000000000,48.25
"2021-11-20 15:40:00",463.6116027832031,36565.000000000000,71.47000122070312
"2021-11-19 18:20:00",467.92681884765625,36574.000000000000,54.27000045776367
"2021-11-21 22:05:00",463.9816589355469,36665.000000000000,58.279998779296875
"2021-11-25 00:25:00",236.85693359375,34063.000000000000,69.1500015258789
"2021-11-24 20:40:00",461.18792724609375,36405.000000000000,71.88999938964844
"2021-11-27 22:55:00",461.80364990234375,36265.000000000000,46.959999084472656
"2021-11-17 08:00:00",467.5516052246094,36688.000000000000,64.6500015258789
"2021-11-14 23:25:00",455.0906677246094,35463.000000000000,61.290000915527344
"2021-11-06 12:30:00",469.65875244140625,37004.000000000000,59.7400016784668
"2021-11-22 12:25:00",463.8639831542969,36674.000000000000,61.91999816894531
"2021-11-07 11:05:00",468.2101745605469,36981.000000000000,64.1500015258789
"2021-11-04 02:45:00",469.13055419921875,36864.000000000000,42.939998626708984
"2021-11-17 00:40:00",467.3057556152344,36562.000000000000,67.2300033569336
"2021-11-26 12:15:00",462.76776123046875,36268.000000000000,47.59000015258789
"2021-11-11 08:45:00",462.61920166015625,36296.000000000000,59.9900016784668
"2021-11-03 05:45:00",470.68402099609375,36997.000000000000,59.400001525878906
"2021-11-07 03:45:00",468.830322265625,36992.000000000000,42.869998931884766
"2021-11-30 05:20:00",453.9088439941406,35633.000000000000,44.4900016784668
"2021-11-03 07:15:00",470.504638671875,36985.000000000000,58.189998626708984
"2021-11-08 20:20:00",466.820068359375,36955.000000000000,62.189998626708984
"2021-11-07 10:35:00",468.38385009765625,36979.000000000000,61.59000015258789
"2021-11-18 14:35:00",465.7630310058594,36679.000000000000,61.65999984741211
"2021-11-10 03:15:00",464.96087646484375,36528.000000000000,61.95000076293945
"2021-11-30 02:35:00",453.4151611328125,35615.000000000000,46.599998474121094
"2021-11-16 09:05:00",449.8702697753906,35232.000000000000,68.0
"2021-11-14 13:15:00",455.2287902832031,35820.000000000000,75.47000122070312
"2021-11-14 01:25:00",457.482421875,35778.000000000000,48.400001525878906
"2021-11-09 05:45:00",467.5849304199219,36731.000000000000,55.97999954223633
"2021-11-09 01:10:00",466.412841796875,36801.000000000000,58.59000015258789
"2021-11-18 16:25:00",464.298828125,36566.000000000000,61.47999954223633
"2021-11-04 09:35:00",469.5987548828125,36912.000000000000,42.75
"2021-11-18 20:40:00",465.67144775390625,36650.000000000000,49.97999954223633
"2021-11-27 16:05:00",461.0657958984375,36202.000000000000,46.040000915527344
"2021-11-18 16:15:00",464.2239685058594,36554.000000000000,61.65999984741211
"2021-11-27 18:40:00",460.5361328125,36149.000000000000,47.38999938964844
"2021-11-18 20:15:00",465.8590393066406,36653.000000000000,50.630001068115234
"2021-11-17 22:45:00",463.0270690917969,36481.000000000000,65.20999908447266
"2021-11-29 16:30:00",456.1824035644531,35868.000000000000,68.4000015258789
"2021-11-22 17:55:00",463.5531311035156,36683.000000000000,56.15999984741211
"2021-11-11 19:30:00",462.2122497558594,36323.000000000000,56.279998779296875
