hour_stump,S9_HR_five_seconds_hashrate,board_6_temp,board_7_temp,board_8_temp,board_6_actual_hashrate,board_7_actual_hashrate,board_8_actual_hashrate,avg_hashrate,miner_count,avg_uptime,lancium_box_uuid
10/1/21 7:20,5002.641373,58.23529412,54.2745098,59.94117647,1721.598824,1820.679412,1721.602157,6242.644118,51,206161.9608,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 7:35,5034.993725,58.35294118,54.47058824,60,1751.774706,1870.088039,1749.915098,6242.822745,51,207061.7451,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 7:50,5036.683529,58.33333333,54.2745098,59.96078431,1748.358824,1851.885882,1740.829216,6242.702549,51,207961.5686,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 8:05,1887071.046,58.54901961,54.56862745,60.23529412,1883784.39,1845.824902,1746.412157,6242.484314,51,208861.5294,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 8:20,977529.4269,58.60784314,54.50980392,60.09803922,974307.27,1809.751176,1707.71451,6242.260392,51,209761.4902,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 8:35,5067.65451,58.45098039,54.43137255,60.01960784,1750.437647,1825.595686,1762.025882,6239.992549,51,210519.7647,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 8:50,5056.052353,58.41176471,54.45098039,60.09803922,1758.2,1870.062157,1768.696275,6239.979216,51,211419.5686,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 9:05,5022.225882,58.41176471,54.35294118,59.96078431,1728.275882,1821.154314,1729.310588,6240.277843,51,212319.6078,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 9:20,5034.653529,58.49019608,54.52941176,60.19607843,1814.723922,1889.199412,1819.152549,6240.690196,51,213219.451,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 9:35,5039.977059,58.50980392,54.47058824,60.11764706,1716.079216,1822.258235,1700.727451,6240.872549,51,214119.2745,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 9:50,5036.542157,58.41176471,54.31372549,60,1807.070196,1873.243333,1796.267451,6241.462353,51,215019.0588,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:05,260410.4043,58.15686275,54,59.70588235,257162.3431,1874.057059,1785.827059,6241.22098,51,215919.1569,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:20,5045.655098,56.09803922,52.25490196,57.76470588,1753.39098,1855.345294,1762.722941,6240.797059,51,216818.9216,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:35,5037.146078,53.47058824,49.62745098,54.66666667,1769.192157,1888.178431,1804.119412,6240.939804,51,217718.8627,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:50,3382713.564,53.64705882,49.92156863,54.98039216,711179.4284,1899.613137,1816.303922,6240.991373,51,218618.8039,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:05,340392.6139,52.01960784,48.23529412,53.19607843,1793.167843,1914.7,1801.418627,6240.999608,51,219518.7647,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:20,5019.3894,53.08,49.16,54.5,1398184.522,1922.9202,1791.061,6247.5044,50,224612.94,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:35,5045.345098,51.11764706,47.41176471,52.23529412,1793.312353,1880.249216,1780.950784,6242.708039,51,221108.0196,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:50,5053.555686,51.23529412,47.60784314,52.31372549,1849.316471,1940.517059,1846.67902,6242.449412,51,221974.6471,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 12:05,5005.87549,51.09803922,47.33333333,51.92156863,1788.848039,1882.87549,1809.55902,6240.111765,51,222874.3922,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 12:20,5037.830784,53.68627451,49.88235294,55.17647059,1813.687451,1889.438431,1806.299608,6240.76098,51,223774.6275,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 12:35,5078.075686,51.94117647,48.03921569,52.66666667,1724.967451,1813.529608,1763.133922,6241.398627,51,220739.1373,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 12:50,5064.368039,51.23529412,47.49019608,52.21568627,1817.178431,1918.299608,1835.237255,6242.750196,51,221639.1176,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 13:05,5030.683725,53.05882353,49.41176471,54.64705882,1704.627843,1832.730392,1721.52098,6241.989216,51,222539.098,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 13:20,15687.03,50.74509804,46.98039216,51.76470588,12425.19686,1854.895686,1759.117647,6241.755686,51,223439.0392,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 13:35,5002.842157,52,48.39215686,53.47058824,1796.491176,1910.738039,1784.840196,6242.146078,51,224338.8627,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 13:50,5032.027059,52.78431373,49.23529412,54.60784314,1738.187255,1821.673137,1730.35902,6241.503529,51,225238.5686,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 14:05,5006.542157,52.2745098,48.7254902,53.94117647,3490319.111,1835.808039,1737.78902,6241.323333,51,226138.3529,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 14:20,724271.7322,53.54901961,49.90196078,55.29411765,721012.6161,1830.604902,1749.807843,6241.501176,51,227038.451,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 14:35,1964308.221,51.90196078,48.43137255,53.52941176,1961020.533,1834.382157,1705.609804,6241.360588,51,227938.3333,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 14:50,1374117.082,50.84313725,47.17647059,51.68627451,1751.216863,1838.243529,1732.71902,6241.231373,51,228838.3922,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 15:05,331922.0173,52.05882353,48.39215686,53.47058824,1748.575098,1879.002353,1763.814706,6240.99,51,229738.4118,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 15:20,5012.522549,47.03921569,43.1372549,47.78431373,360467.2361,1850.507059,1748.525686,6241.120784,51,230638.3922,00c48284-5e32-49c8-81c2-dee946fdb764
