"hour_stump","datacenter_id","datacenter_room_id","miner_model","gigahash/second"
2021-11-17 14:45:00.000,5,"2",S9,467786016
2021-11-22 09:30:00.000,5,"2",S9,463721504
2021-11-11 07:00:00.000,5,"2",S9,460905696
2021-11-17 08:55:00.000,5,"2",S9,468161952
2021-11-23 22:50:00.000,5,"2",S9,462794080
2021-11-05 15:15:00.000,5,"2",S9,469905216
2021-11-16 06:00:00.000,5,"2",S9,451096128
2021-11-28 22:45:00.000,5,"2",S9,460888256
2021-11-26 02:45:00.000,5,"2",S9,461989216
2021-11-22 21:00:00.000,5,"2",S9,463655488
2021-11-26 13:05:00.000,5,"2",S9,461656160
2021-11-21 10:30:00.000,5,"2",S9,464921440
2021-11-22 18:30:00.000,5,"2",S9,463976800
2021-11-24 20:20:00.000,5,"2",S9,461092992
2021-11-24 17:10:00.000,5,"2",S9,461884992
2021-11-24 03:30:00.000,5,"2",S9,462636992
2021-11-09 18:40:00.000,5,"2",S9,466737568
2021-11-03 01:30:00.000,5,"2",S9,470553056
2021-11-19 10:55:00.000,5,"2",S9,466113248
2021-11-06 21:10:00.000,5,"2",S9,468626496
2021-11-29 08:30:00.000,5,"2",S9,458760320
2021-11-21 02:25:00.000,5,"2",S9,464998944
2021-11-21 20:55:00.000,5,"2",S9,462996320
2021-11-18 19:35:00.000,5,"2",S9,465941088
2021-11-10 03:50:00.000,5,"2",S9,464991488
2021-11-10 22:15:00.000,5,"2",S9,459606976
2021-11-14 21:15:00.000,5,"2",S9,453307136
2021-11-13 11:45:00.000,5,"2",S9,457380512
2021-11-24 21:05:00.000,5,"2",S9,461055424
2021-11-05 01:40:00.000,5,"2",S9,470325408
2021-11-18 03:15:00.000,5,"2",S9,463125536
2021-11-16 14:15:00.000,5,"2",S9,449917760
2021-11-26 21:50:00.000,5,"2",S9,462054784
2021-11-03 21:25:00.000,5,"2",S9,467493568
2021-11-12 01:30:00.000,5,"2",S9,462212256
2021-11-24 17:40:00.000,5,"2",S9,458947264
2021-11-25 00:40:00.000,5,"2",S9,460988416
2021-11-07 11:15:00.000,5,"2",S9,469366464
2021-11-14 10:40:00.000,5,"2",S9,457669792
2021-11-07 20:50:00.000,5,"2",S9,467797696
2021-11-13 14:10:00.000,5,"2",S9,457181024
2021-11-10 23:25:00.000,5,"2",S9,458770112
2021-11-16 11:45:00.000,5,"2",S9,450305728
2021-11-25 11:15:00.000,5,"2",S9,237550816
2021-11-20 17:15:00.000,5,"2",S9,465732224
2021-11-03 20:00:00.000,5,"2",S9,469208480
2021-11-19 11:20:00.000,5,"2",S9,465711840
2021-11-11 22:25:00.000,5,"2",S9,462268480
2021-11-11 16:45:00.000,5,"2",S9,462522752
2021-11-26 08:45:00.000,5,"2",S9,461475296
2021-11-22 17:35:00.000,5,"2",S9,464005600
2021-11-05 07:55:00.000,5,"2",S9,469778944
2021-11-28 16:00:00.000,5,"2",S9,461701856
2021-11-29 00:05:00.000,5,"2",S9,459072256
2021-11-14 10:10:00.000,5,"2",S9,457536256
2021-11-12 20:45:00.000,5,"2",S9,453422048
2021-11-24 18:30:00.000,5,"2",S9,460063232
2021-11-19 05:30:00.000,5,"2",S9,465895040
2021-11-05 23:15:00.000,5,"2",S9,467071040
2021-11-26 03:55:00.000,5,"2",S9,461841632
2021-11-23 10:45:00.000,5,"2",S9,463962528
2021-11-13 07:45:00.000,5,"2",S9,456760000
2021-11-11 17:45:00.000,5,"2",S9,462576736
