hour_stump,M31_target_HR,avg hashrate,miners,avg_uptime,env_temp,avg power,power_rt,lancium_box_uuid
10/14/21 17:50,72881501,64751.83427,6497,1617106.225,36.37540403,2721.643066,2722.560874,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 17:55,73960001.16,76961.25793,7885,950025.625,57.1812936,3273.496386,547974.0547,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 17:55,72892720.45,64785.20429,6496,1617670.826,36.3960899,2721.823276,2724.628387,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:00,73923433.94,76914.09506,7884,949570.5776,57.17338914,3269.575596,820427.7234,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:00,72801802.5,64716.40341,6501,1614956.073,36.36555914,2717.911244,2720.006768,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:05,73949996.63,76876.28941,7885,950388.4391,57.0752695,3269.767787,820324.2463,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:05,72880859.25,64770.14207,6500,1617297.954,36.28176923,2719.994,2722.615385,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:10,73950444.98,76903.87944,7886,950813.7162,56.90438752,3271.139741,820221.2346,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:10,72869218.76,64777.2875,6503,1616870.307,36.28679071,2720.676765,2721.4175,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:15,73949831.3,76874.23306,7889,950732.8075,57.08112562,3269.277475,275483.7959,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:15,72903722.95,64830.53522,6496,1618863.009,36.35737377,2722.339594,2722.564963,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:20,73960800.39,76895.09105,7891,950806.6923,57.08478013,3269.528197,819703.9508,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:20,72859589.13,64717.79701,6501,1617625.272,36.67904938,2717.831103,2722.848792,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:25,73987962.77,76942.95787,7892,950940.6496,57.09699696,3271.302965,547491.6797,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:25,72903727.29,64808.67413,6496,1619476.736,36.65016933,2723.960745,2725.811268,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:30,73988028.93,76956.09097,7895,950907.2493,57.2290057,3271.948195,819291.5667,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:30,72881579.14,64781.11385,6501,1618549.244,36.84010152,2722.523919,2724.768805,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:35,73997401.63,76987.46339,7894,951335.073,57.40226754,3274.633012,819396.481,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:35,72891136.56,64815.20777,6499,1619348.208,36.55093091,2722.995538,2723.419603,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:40,73987018.82,76991.44267,7899,950984.2565,57.63565008,3272.923028,547008.5168,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:40,72903943.34,64833.35703,6495,1620612.456,36.99668976,2724.688068,2727.071286,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:45,73987776.55,76989.29082,7899,951321.5363,57.69920243,3270.759337,1090743.62,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:45,72835935.29,64768.1695,6500,1619663.681,37.35330769,2723.817846,2726.479231,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:50,73977859.28,76977.33184,7898,951713.8934,57.73024816,3270.233097,547077.8821,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:50,72903722.95,64822.42787,6496,1620960.145,36.90986761,2724.416256,2723.067272,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 18:55,73961666.29,76829.53864,7916,949824.924,58.00221071,3264.371526,274554.4502,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 18:55,72840326.76,64759.85064,6501,1619080.299,37.39624673,2721.652823,2728.435625,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:00,73935740.78,76825.69082,7913,949863.4983,58.19727031,3266.239479,1088813.83,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:00,72914951.88,64824.13431,6495,1621519.82,37.42933025,2727.205697,2727.983372,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:05,73962283.11,76811.48272,7912,950809.9249,58.35060667,3264.469287,546109.9817,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:05,72881939.78,64805.16557,6495,1621775.807,37.49299461,2726.06759,2723.422171,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
