"hour_stump","datacenter_id","pm_26973_freq","pm_26973_mw","pm_26973_kw","pm_26974_freq","pm_26974_mw","pm_26974_kw","pm_74059_freq","pm_74059_mw","pm_74059_kw","usd","temp_f","rel_humidity"
2021-10-03 13:40:00.000,5,,26.647566,,,28.32235,,,54.969933,,44.68,,
2021-10-29 09:05:00.000,5,,26.135683,,,26.978884,,,53.11368,,30.67,,
2021-10-06 21:45:00.000,5,,26.750204,,,28.503458,,,55.254406,,200.0,,
2021-10-24 19:45:00.000,5,,26.57039,,,27.961525,,,54.531017,,110.51,,
2021-10-07 03:35:00.000,5,,26.540203,,,28.36783,,,54.90832,,38.94,,
2021-10-24 22:55:00.000,5,,26.46655,,,28.128283,,,54.59575,,448.63,,
2021-10-28 12:15:00.000,5,,26.255533,,,27.147917,,,53.402733,,24.35,,
2021-10-07 17:05:00.000,5,,26.79219,,,28.665775,,,55.457863,,55.84,,
2021-10-31 01:35:00.000,5,,26.047832,,,27.505783,,,53.554283,,26.62,,
2021-10-06 02:40:00.000,5,,26.300667,,,28.049784,,,54.350433,,38.59,,
2021-10-18 05:40:00.000,5,,25.719767,,,27.355717,,,53.075317,,1.14,,
2021-10-09 04:50:00.000,5,,26.689766,,,27.806267,,,54.496384,,30.732,,
2021-10-24 16:20:00.000,5,,26.366817,,,27.9988,,,54.366135,,56.9,,
2021-10-28 22:55:00.000,5,,26.48505,,,27.72385,,,54.210365,,18.23,,
2021-10-15 02:05:00.000,5,,26.64545,,,28.094734,,,54.739933,,75.0,,
2021-10-08 22:05:00.000,5,,26.76945,,,28.684566,,,55.453568,,62.09,,
2021-10-07 16:20:00.000,5,,26.9563,,,28.540617,,,55.496616,,57.92,,
2021-10-26 03:00:00.000,5,,26.50325,,,27.863867,,,54.366966,,36.76,,
2021-10-18 11:35:00.000,5,,25.1138,,,27.1802,,,52.295017,,27.94,,
2021-10-09 12:40:00.000,5,,26.532467,,,27.838833,,,54.3705,,25.33,,
2021-10-26 13:05:00.000,5,,26.29695,,,27.8846,,,54.181435,,42.55,,
2021-10-05 19:15:00.000,5,,26.753483,,,28.528183,,,55.281784,,73.44,,
2021-10-13 23:40:00.000,5,,26.445883,,,28.2325,,,54.678185,,30.57,,
2021-10-29 23:15:00.000,5,,26.2562,,,27.542734,,,53.799515,,37.755,,
2021-10-28 04:20:00.000,5,,26.349817,,,27.376167,,,53.726368,,18.58,,
2021-10-02 19:15:00.000,5,,26.683184,,,28.7078,,,55.39123,,56.84,,
2021-10-08 22:10:00.000,5,,26.70355,,,28.389317,,,55.092518,,61.05,,
2021-10-27 11:05:00.000,5,,25.728342,,,26.971943,,,52.699345,,44.54,,
2021-10-21 20:35:00.000,5,,26.098534,,,28.1503,,,54.248817,,63.26,,
2021-10-15 16:15:00.000,5,,26.689167,,,28.107033,,,54.796215,,58.61,,
2021-10-19 19:40:00.000,5,,,,,,,,,,49.87,,
2021-10-02 10:05:00.000,5,,26.684534,,,28.484583,,,55.170635,,43.71,,
2021-10-06 20:05:00.000,5,,26.7477,,,28.7265,,,55.47445,,67.05334,,
2021-10-19 21:05:00.000,5,,,,,,,,,,53.32,,
2021-10-14 09:45:00.000,5,,25.81525,,,27.707716,,,53.522785,,47.58,,
2021-10-10 17:25:00.000,5,,26.5959,,,28.446983,,,55.042984,,51.57,,
2021-10-12 06:30:00.000,5,,26.184317,,,28.0892,,,54.2731,,36.37,,
2021-10-23 16:45:00.000,5,,26.661966,,,28.107616,,,54.769733,,161.4,,
2021-10-20 20:40:00.000,5,,26.184534,,,28.25855,,,54.444317,,74.33,,
2021-10-11 15:25:00.000,5,,26.069633,,,28.173433,,,54.242718,,51.99,,
2021-10-09 13:40:00.000,5,,26.669716,,,27.888884,,,54.558765,,34.47,,
2021-10-29 18:10:00.000,5,,26.393187,,,27.43588,,,53.82844,,-7.13,,
2021-10-17 05:30:00.000,5,,25.53115,,,27.165016,,,52.695866,,51.76,,
2021-10-29 12:20:00.000,5,,26.047367,,,26.896866,,,52.944717,,40.08,,
2021-10-05 20:55:00.000,5,,26.60095,,,28.3848,,,54.985733,,122.52,,
2021-10-13 15:45:00.000,5,,26.66275,,,28.211634,,,54.874485,,70.36,,
2021-10-11 06:25:00.000,5,,25.53345,,,27.776684,,,53.30958,,37.03,,
2021-10-18 15:50:00.000,5,,25.9241,,,27.657833,,,53.581768,,27.47,,
2021-10-23 18:45:00.000,5,,26.3086,,,28.197166,,,54.50598,,62.11,,
2021-10-26 13:30:00.000,5,,26.285433,,,27.867933,,,54.15285,,47.21,,
