hour_stump,target_mhs,hashrate,miners,avg_uptime,env_temp,power,power_rt,lancium_box_uuid
11/1/21 1:30,85781667.72,91277.99658,620,560439.2,34.85483871,3447.096774,3444.748387,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 1:30,81306794.68,74031.93163,2684,9990.66468,35.67064083,2734.195231,2758.420268,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 1:35,85781667.72,91275.19335,620,560739.0129,34.69354839,3445.335484,3445.909677,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 1:35,83878621.74,74112.79615,2696,10235.47923,36.15207715,2795.320475,2841.658754,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 1:40,85781667.72,91272.4754,620,561039.2387,34.89677419,3446.645161,3447.974194,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 1:40,84387734.39,75995.9105,2696,10576.16617,36.24109792,2846.566766,2856.454006,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 1:45,85781667.72,91269.91864,620,561339.0645,34.85483871,3447.148387,3447.767742,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 1:45,84387734.39,76958.65206,2696,10875.18398,36.04673591,2862.700297,2866.854599,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 1:50,85781667.72,91267.20358,620,561639.3355,34.63225806,3445.974194,3447.2,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 1:50,84387734.39,77298.36005,2696,11173.54748,35.18768546,2864.70178,2863.382789,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 1:55,85781667.72,91263.93905,620,561939.0452,34.31290323,3447.16129,3447.922581,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 1:55,84387734.39,77304.78759,2696,11472.34718,34.9421365,2866.633531,2867.623145,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:00,85781667.72,90716.16768,620,562239.1935,34.65806452,3434.451613,3448.851613,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:00,81502676.01,74814.69194,2696,11537.57864,33.62537092,2772.284866,2771.249258,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:05,85781667.72,90747.41451,620,562539.0516,34.03225806,3446.412903,3445.987097,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:05,28850728.71,25288.31923,2688,7217.703869,11.78794643,979.34375,1064.907738,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:10,85781667.72,90744.93316,620,562839.2516,33.81935484,3447.329032,3451.045161,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:10,67373370.22,23633.50946,2656,6376.391566,26.81927711,1488.305723,2165.114458,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:15,85781667.72,90877.3457,620,563139.071,33.80322581,3450.43871,3455.535484,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:15,84389843.95,49533.6984,2676,7305.875934,34.40134529,2565.478326,2809.384155,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:20,85781667.72,90972.66732,620,563439.2516,33.47741935,3452.380645,3452.129032,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:20,84140751.21,63554.73152,2688,7571.85119,34.73214286,2824.821429,2833.91369,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:25,85781667.72,90500.89932,620,563739.0581,33.9516129,3435.012903,3458.580645,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:25,84391917.64,67967.50301,2680,7893.204478,35.19402985,2851.491045,2861.349254,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:30,85781667.72,90557.30233,620,564039.2839,34.11290323,3456.651613,3457.496774,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:30,84389769.04,70608.46964,2676,8201.57997,34.10089686,2862.763827,2864.397608,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:35,85781667.72,90594.00547,620,564339.0645,34.13225806,3458.793548,3457.16129,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:35,84266147.27,72282.33587,2684,8478.105812,32.96348733,2862.299553,2865.394933,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:40,85781667.72,90753.44062,620,564639.2194,34.5516129,3459.845161,3462.632258,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:40,84391917.64,74264.5958,2680,8789.068657,32.95223881,2872.237313,2875.59403,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:45,85781667.72,90868.16456,620,564939.1032,33.68064516,3458.4,3454.012903,00c48284-5e32-49c8-81c2-dee946fdb764
11/1/21 2:45,84391917.64,76695.81577,2680,9087.892537,32.34253731,2872.841791,2873.256716,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
11/1/21 2:50,85781667.72,90939.63921,620,565239.2452,35.75483871,3460.025806,3475.458065,00c48284-5e32-49c8-81c2-dee946fdb764
