hour_stump,target_mhs,hashrate,miners,avg_uptime,env_temp,power,power_rt,lancium_box_uuid
10/1/21 9:20,85781683.64,92045.76365,154,1661998.708,46.20454545,3539.922078,3541.324675,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 9:35,85781683.64,92044.18755,154,1662898.623,46.06493506,3540.376623,3540.25974,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 9:50,85781683.64,92042.60528,154,1663798.584,46.00649351,3539.305195,3539.701299,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:05,85781683.64,92041.02741,154,1664698.786,45.91883117,3537.188312,3537.935065,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:20,85781683.64,92038.60011,154,1665598.623,41.32142857,3494.662338,3492.25974,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:35,85781683.64,92036.68551,154,1666498.688,41.48701299,3503.564935,3503.818182,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 10:50,85781699.76,92034.85986,153,1676745.693,40.58496732,3499.196078,3500.575163,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:05,85781683.64,91748.09341,154,1668298.792,40.72077922,3502.285714,3503.363636,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:20,85781683.64,92047.21242,154,1669198.766,38.51298701,3490.292208,3485.025974,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:35,85781683.64,91801.05987,154,1670098.662,40.07792208,3503.461039,3500.792208,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 11:50,85781683.64,91922.25733,154,1670998.675,40.08441558,3503.850649,3499.714286,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 12:05,85781683.64,91950.63448,154,1671898.63,40.54220779,3505.837662,3505.87013,00c48284-5e32-49c8-81c2-dee946fdb764
10/1/21 12:20,85781683.64,91962.54305,154,1672798.708,38.99675325,3494.961039,3493.61039,00c48284-5e32-49c8-81c2-dee946fdb764
